Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Highland Park Borough,Middlesex,2016,PSEG,"36,253,185","22,152,940","362,471","903,889","59,672,485",PSEG,"2,997,726","2,106,281","12,622",NDA,"5,116,628"
Highland Park Borough,Middlesex,2017,PSEG,"34,934,867","22,349,158","381,271","768,579","58,433,875",PSEG,"3,118,232","2,207,348","13,367",NDA,"5,338,946"
Highland Park Borough,Middlesex,2018,PSEG,"37,762,521","22,774,285","251,972","928,138","61,716,916",PSEG,"3,549,154","2,374,614","15,503",NDA,"5,939,272"
Highland Park Borough,Middlesex,2019,PSEG,"36,417,709","22,439,351","309,512","834,416","60,000,988",PSEG,"3,308,114","2,343,908","13,897",NDA,"5,665,918"
Highland Park Borough,Middlesex,2020,PSEG,"38,498,680","20,467,309","269,678","831,579","60,067,246",PSEG,"3,047,068","2,121,706","9,171",NDA,"5,177,945"
Highland Park Borough,Middlesex,2021,PSEG,"40,207,915","20,160,611","292,095","834,701","61,495,322",PSEG,"3,298,390","2,171,542","11,402",NDA,"5,481,334"
Highland Park Borough,Middlesex,2022,PSEG,"40,065,271","20,617,506","304,756","778,004","61,765,537",PSEG,"3,378,179","2,278,776","12,552",NDA,"5,669,507"
Jamesburg Borough,Middlesex,2016,PSEG/JCPL,"28,565","57,555",NDA,NDA,"86,120",PSEG,"1,409,420","577,508","11,051",NDA,"1,997,978"
Jamesburg Borough,Middlesex,2017,PSEG/JCPL,"20,425","50,749",NDA,NDA,"71,174",PSEG,"1,424,703","618,741","10,987",NDA,"2,054,430"
Jamesburg Borough,Middlesex,2018,PSEG/JCPL,"21,354,497","11,715,359","185,453","213,708","33,469,017",PSEG,"1,633,604","704,561","12,449",NDA,"2,350,614"
Jamesburg Borough,Middlesex,2019,PSEG/JCPL,"20,508,719","11,126,855","167,336","213,456","32,016,366",PSEG,"1,535,550","678,156","11,203",NDA,"2,224,910"
Jamesburg Borough,Middlesex,2020,PSEG/JCPL,"20,836,623","10,974,400","171,491","213,456","32,195,970",PSEG,"1,418,462","557,558","10,980",NDA,"1,987,000"
Jamesburg Borough,Middlesex,2021,PSEG/JCPL,"21,155,544","11,084,524","160,764","213,456","32,614,288",PSEG,"1,481,552","589,614","10,302",NDA,"2,081,469"
Jamesburg Borough,Middlesex,2022,PSEG/JCPL,"20,729,504","10,839,615","153,301",NDA,"31,722,420",PSEG,"1,516,283","600,491","11,485",NDA,"2,128,260"
Metuchen Borough,Middlesex,2016,PSEG,"43,203,824","45,637,731","2,948,222","951,139","92,740,916",ETG/PSEG,"4,751,541","1,569,427",NDA,NDA,"6,320,968"
Metuchen Borough,Middlesex,2017,PSEG,"41,136,683","46,981,276","2,666,652","957,085","91,741,696",ETG/PSEG,"4,905,005","1,743,998",NDA,NDA,"6,649,003"
Metuchen Borough,Middlesex,2018,PSEG,"44,779,530","51,484,905","2,733,540","987,665","99,985,640",ETG/PSEG,"5,565,597","2,362,221",NDA,NDA,"7,927,818"
Metuchen Borough,Middlesex,2019,PSEG,"43,345,706","48,014,289","2,422,164","979,481","94,761,640",ETG/PSEG,"5,193,108","2,141,634",NDA,NDA,"7,334,742"
Metuchen Borough,Middlesex,2020,PSEG,"45,415,449","42,815,496","2,305,572","1,054,181","91,590,698",ETG/PSEG,"7,947,513","2,634,200","2,588,719",NDA,"13,170,432"
Metuchen Borough,Middlesex,2021,PSEG,"46,494,851","41,658,974","2,482,176","984,478","91,620,479",ETG/PSEG,"9,846,900","3,384,353","3,635,545",NDA,"16,866,798"
Metuchen Borough,Middlesex,2022,PSEG,"45,304,451","45,405,809","2,134,242","921,272","93,765,774",ETG/PSEG,"10,157,907","3,845,072","4,398,750",NDA,"18,401,729"
Middlesex Borough,Middlesex,2016,PSEG,"39,898,967","48,071,107","8,080,640","820,381","96,871,095",PSEG,"3,558,830","2,757,606","357,558",NDA,"6,673,994"
Middlesex Borough,Middlesex,2017,PSEG,"37,846,337","47,248,178","8,785,231","682,967","94,562,713",PSEG,"3,696,495","2,921,334","423,738",NDA,"7,041,568"
Middlesex Borough,Middlesex,2018,PSEG,"40,016,316","44,479,278","9,619,979","711,779","94,827,352",PSEG,"4,131,166","3,043,200","634,810",NDA,"7,809,176"
Middlesex Borough,Middlesex,2019,PSEG,"38,331,383","44,788,928","8,767,748","751,720","92,639,779",PSEG,"3,846,481","3,249,960","670,277",NDA,"7,766,718"
Middlesex Borough,Middlesex,2020,PSEG,"39,431,986","41,566,022","7,891,623","760,102","89,649,733",PSEG,"3,545,463","2,631,395","616,478",NDA,"6,793,336"
Middlesex Borough,Middlesex,2021,PSEG,"39,669,233","42,375,815","8,734,162","772,311","91,551,521",PSEG,"3,770,442","2,708,469","623,745",NDA,"7,102,655"
Middlesex Borough,Middlesex,2022,PSEG,"39,422,268","44,281,263","8,312,056","775,759","92,791,346",PSEG,"3,792,858","2,900,227","714,622",NDA,"7,407,707"
Milltown Borough,Middlesex,2016,MEU/PSEG,"95,597",NDA,NDA,NDA,"95,597",PSEG,"2,256,347","538,010","55,763",NDA,"2,850,120"
Milltown Borough,Middlesex,2017,MEU/PSEG,"92,563",NDA,NDA,NDA,"92,563",PSEG,"2,280,002","545,226","51,817",NDA,"2,877,046"
Milltown Borough,Middlesex,2018,MEU/PSEG,"93,463",NDA,NDA,NDA,"93,463",PSEG,"2,595,821","673,573","58,842",NDA,"3,328,236"
Milltown Borough,Middlesex,2019,MEU/PSEG,"95,683",NDA,NDA,NDA,"95,683",PSEG,"2,440,030","675,323","56,342",NDA,"3,171,695"
Milltown Borough,Middlesex,2020,MEU/PSEG,"100,942",NDA,NDA,NDA,"100,942",PSEG,"2,248,181","588,361","35,938",NDA,"2,872,480"
Milltown Borough,Middlesex,2021,MEU/PSEG,"111,941",NDA,NDA,NDA,"111,941",PSEG,"2,328,037","621,984","26,706",NDA,"2,976,727"
Milltown Borough,Middlesex,2022,MEU/PSEG,"117,586",NDA,NDA,NDA,"117,586",PSEG,"2,378,201","647,389","25,674",NDA,"3,051,264"
Monroe Township,Middlesex,2016,PSEG/JCPL,"9,812","1,739,888","84,120",NDA,"1,833,820",NJNG/PSEG,"14,329,208","3,888,595","69,852",NDA,"18,287,656"
Monroe Township,Middlesex,2017,PSEG/JCPL,"9,047","1,810,219","3,079",NDA,"1,822,345",NJNG/PSEG,"14,943,014","4,070,919","78,785",NDA,"19,092,719"
Monroe Township,Middlesex,2018,PSEG/JCPL,"237,177,002","166,255,164","44,439,121","3,044,721","450,916,008",NJNG/PSEG,"17,347,814","4,612,213","84,040",NDA,"22,044,068"
Monroe Township,Middlesex,2019,PSEG/JCPL,"230,475,509","161,614,870","43,934,671","3,067,494","439,092,544",NJNG/PSEG,"16,692,678","4,269,903","95,008",NDA,"21,057,590"
Monroe Township,Middlesex,2020,PSEG/JCPL,"230,216,875","151,029,124","42,807,785","3,041,314","427,095,098",NJNG/PSEG,"15,564,620","3,726,988","76,705",NDA,"19,368,313"
Monroe Township,Middlesex,2021,PSEG/JCPL,"239,176,924","156,644,802","42,576,734","3,018,440","441,416,900",NJNG/PSEG,"16,324,869","4,164,282","90,917",NDA,"20,580,068"
Monroe Township,Middlesex,2022,PSEG/JCPL,"236,820,330","160,050,827","35,146,869","6,216","432,024,242",NJNG/PSEG,"16,780,627","4,197,143","106,818",NDA,"21,084,588"
New Brunswick City,Middlesex,2016,PSEG,"88,250,111","446,449,505","113,553,348","5,491,713","653,744,677",PSEG,"7,600,157","28,943,367","959,415",NDA,"37,502,939"
New Brunswick City,Middlesex,2017,PSEG,"88,669,768","441,505,151","101,949,292","5,148,424","637,272,635",PSEG,"7,874,464","33,843,549","971,884",NDA,"42,689,897"
New Brunswick City,Middlesex,2018,PSEG,"90,757,992","450,343,297","93,913,151","6,356,262","641,370,702",PSEG,"8,669,155","33,057,522","1,224,308",NDA,"42,950,984"
New Brunswick City,Middlesex,2019,PSEG,"88,322,342","437,164,003","102,682,015","5,384,926","633,553,286",PSEG,"8,164,529","32,420,596","1,303,711",NDA,"41,888,836"
New Brunswick City,Middlesex,2020,PSEG,"89,373,686","403,634,828","90,001,922","6,245,736","589,256,172",PSEG,"7,494,032","30,280,225","1,039,906",NDA,"38,814,163"
New Brunswick City,Middlesex,2021,PSEG,"95,854,720","402,503,578","91,271,881","5,888,160","595,518,339",PSEG,"8,058,944","31,793,320","1,171,158",NDA,"41,023,422"
New Brunswick City,Middlesex,2022,PSEG,"96,477,676","409,242,109","94,643,090","5,811,749","606,174,624",PSEG,"8,067,137","32,391,324","1,197,525",NDA,"41,655,986"
North Brunswick Township,Middlesex,2016,PSEG,"108,438,795","133,194,442","13,668,177","2,098,755","257,400,169",PSEG,"10,277,720","5,900,301","476,749",NDA,"16,654,770"
North Brunswick Township,Middlesex,2017,PSEG,"102,944,363","129,552,237","14,470,172","2,064,242","249,031,014",PSEG,"10,483,250","5,989,463","446,864",NDA,"16,919,578"
North Brunswick Township,Middlesex,2018,PSEG,"106,569,019","137,180,754","13,954,216","2,149,693","259,853,682",PSEG,"11,216,920","6,875,114","392,212",NDA,"18,484,246"
North Brunswick Township,Middlesex,2019,PSEG,"104,672,366","139,354,438","13,484,651","2,167,498","259,678,953",PSEG,"10,993,692","6,978,046","353,105",NDA,"18,324,844"
North Brunswick Township,Middlesex,2020,PSEG,"108,063,390","129,213,433","13,217,080","2,211,607","252,705,510",PSEG,"10,097,243","6,285,402","348,254",NDA,"16,730,899"
North Brunswick Township,Middlesex,2021,PSEG,"109,389,530","132,138,302","13,741,903","2,269,336","257,539,071",PSEG,"10,865,161","6,554,930","381,305",NDA,"17,801,396"
North Brunswick Township,Middlesex,2022,PSEG,"108,706,156","133,213,074","13,689,752","2,216,342","257,825,324",PSEG,"10,823,217","6,736,833","348,178",NDA,"17,908,229"
Old Bridge Township,Middlesex,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG/PSEG,"14,797,023","7,364,902","2,889,574",NDA,"25,051,499"
Old Bridge Township,Middlesex,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG/PSEG,"15,639,458","7,848,372","3,538,815",NDA,"27,026,645"
Old Bridge Township,Middlesex,2018,JCPL,"197,432,388","136,912,066","10,998,313","2,700,729","348,043,496",NJNG/PSEG,"17,738,693","8,539,654","3,554,935",NDA,"29,833,282"
Old Bridge Township,Middlesex,2019,JCPL,"188,172,120","135,734,518","10,708,912","2,704,131","337,319,681",NJNG/PSEG,"16,588,725","7,792,963","3,732,534",NDA,"28,114,222"
Old Bridge Township,Middlesex,2020,JCPL,"194,091,576","122,683,015","10,517,340","2,703,216","329,995,147",NJNG/PSEG,"15,367,691","8,242,567","2,517,519",NDA,"26,127,777"
Old Bridge Township,Middlesex,2021,JCPL,"200,616,040","124,185,193","9,906,265","2,703,267","337,410,765",NJNG/PSEG,"16,478,124","8,434,561","2,815,093",NDA,"27,727,777"
Old Bridge Township,Middlesex,2022,JCPL,"198,183,950","127,920,292","9,838,345",NDA,"335,942,587",NJNG/PSEG,"16,227,664","9,237,982","2,539,771",NDA,"28,005,417"
Perth Amboy City,Middlesex,2016,PSEG,"98,271,972","135,582,780","33,833,210","2,456,566","270,144,528",ETG/PSEG,"10,181,022","6,119,291","61,090,170",NDA,"77,390,483"
Perth Amboy City,Middlesex,2017,PSEG,"89,500,756","129,629,295","30,593,818","2,485,999","252,209,868",ETG/PSEG,"10,457,913","5,872,615","24,935,249",NDA,"41,265,777"
Perth Amboy City,Middlesex,2018,PSEG,"101,072,112","136,585,459","30,364,517","2,545,153","270,567,241",ETG/PSEG,"12,109,361","6,738,806","31,025,750",NDA,"49,873,917"
Perth Amboy City,Middlesex,2019,PSEG,"97,266,648","134,132,651","28,368,676","2,568,804","262,336,779",ETG/PSEG,"10,871,217","6,262,715","10,714,640",NDA,"27,848,572"
Perth Amboy City,Middlesex,2020,PSEG,"101,272,372","129,881,939","27,728,182","2,575,837","261,458,330",ETG/PSEG,"17,383,640","9,718,796","28,702,064",NDA,"55,804,500"
Perth Amboy City,Middlesex,2021,PSEG,"103,106,624","130,328,514","33,761,817","2,557,917","269,754,872",ETG/PSEG,"20,950,418","12,044,113","41,036,167",NDA,"74,030,698"
Perth Amboy City,Middlesex,2022,PSEG,"102,357,634","131,319,631","33,085,326","2,442,337","269,204,928",ETG/PSEG,"21,923,917","12,860,287","46,080,749",NDA,"80,864,953"
Piscataway Township,Middlesex,2016,PSEG,"130,928,469","695,554,563","72,700,367","3,390,005","902,573,404",PSEG,"11,562,258","24,802,743","2,718,121",NDA,"39,083,122"
Piscataway Township,Middlesex,2017,PSEG,"122,696,585","673,864,538","73,373,098","3,479,529","873,413,750",PSEG,"11,619,373","26,627,228","2,411,276",NDA,"40,657,877"
Piscataway Township,Middlesex,2018,PSEG,"130,958,776","705,237,741","67,300,239","3,565,827","907,062,583",PSEG,"13,412,646","30,012,903","3,386,921",NDA,"46,812,470"
Piscataway Township,Middlesex,2019,PSEG,"125,580,269","717,835,521","63,085,836","3,639,349","910,140,975",PSEG,"12,719,777","31,260,900","2,703,081",NDA,"46,683,758"
Piscataway Township,Middlesex,2020,PSEG,"130,681,489","788,074,366","57,311,155","3,663,093","979,730,103",PSEG,"11,908,811","25,598,008","2,032,670",NDA,"39,539,490"
Piscataway Township,Middlesex,2021,PSEG,"132,745,129","698,971,469","59,645,750","3,673,192","895,035,540",PSEG,"12,578,379","33,149,438","2,116,836",NDA,"47,844,653"
Piscataway Township,Middlesex,2022,PSEG,"131,613,172","756,943,844","58,733,385","3,691,370","950,981,771",PSEG,"12,502,970","18,899,564","2,382,280",NDA,"33,784,815"
PlainsBorough Township,Middlesex,2016,PSEG,"85,851,383","281,785,315","11,313,541","752,578","379,702,817",PSEG,"3,638,293","9,018,674","139,657",NDA,"12,796,624"
PlainsBorough Township,Middlesex,2017,PSEG,"84,284,665","258,965,707","11,512,094","725,101","355,487,567",PSEG,"3,908,403","9,225,541","139,734",NDA,"13,273,677"
PlainsBorough Township,Middlesex,2018,PSEG,"88,436,973","276,821,346","5,472,988","762,020","371,493,327",PSEG,"4,275,865","7,161,582","2,610,248",NDA,"14,047,695"
PlainsBorough Township,Middlesex,2019,PSEG,"83,867,160","275,217,788","3,250,729","758,464","363,094,141",PSEG,"3,999,993","5,411,626","3,763,919",NDA,"13,175,538"
PlainsBorough Township,Middlesex,2020,PSEG,"85,553,227","248,603,680","3,243,780","758,393","338,159,080",PSEG,"3,745,456","4,869,960","3,943,722",NDA,"12,559,138"
PlainsBorough Township,Middlesex,2021,PSEG,"86,644,833","256,567,306","3,137,320","761,528","347,110,987",PSEG,"3,973,277","5,356,794","3,797,536",NDA,"13,127,607"
PlainsBorough Township,Middlesex,2022,PSEG,"85,702,629","270,295,548","3,028,029","767,149","359,793,355",PSEG,"4,049,843","5,483,262","3,982,606",NDA,"13,515,710"
Sayreville Borough,Middlesex,2016,PSEG/JCPL,"20,333",NDA,NDA,NDA,"20,333",PSEG,"11,373,179","84,882,171","6,270,058",NDA,"102,525,407"
Sayreville Borough,Middlesex,2017,PSEG/JCPL,"4,174",NDA,NDA,NDA,"4,174",PSEG,"12,167,847","63,127,247","7,327,793",NDA,"82,622,887"
Sayreville Borough,Middlesex,2018,PSEG/JCPL,"125,937,190","116,463,416","421,196,523","2,052,109","665,649,238",PSEG,"13,699,247","98,646,737","10,990,764",NDA,"123,336,749"
Sayreville Borough,Middlesex,2019,PSEG/JCPL,"121,425,151","113,606,897","400,417,373","2,057,713","637,507,134",PSEG,"12,802,002","44,781,093","9,706,914",NDA,"67,290,009"
Sayreville Borough,Middlesex,2020,PSEG/JCPL,"124,241,974","105,578,031","375,129,757","2,056,473","607,006,235",PSEG,"11,732,720","38,502,695","8,648,984",NDA,"58,884,399"
Sayreville Borough,Middlesex,2021,PSEG/JCPL,"127,389,616","116,711,887","373,060,667","2,056,416","619,218,586",PSEG,"12,626,706","66,181,567","11,136,846",NDA,"89,945,119"
Sayreville Borough,Middlesex,2022,PSEG/JCPL,"126,156,376","110,603,377","328,269,849",NDA,"565,029,602",PSEG,"12,375,636","67,850,198","12,145,932",NDA,"92,371,766"
South Amboy City,Middlesex,2016,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"2,562,852","713,851","33,823",NDA,"3,310,526"
South Amboy City,Middlesex,2017,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"2,744,408","772,740","35,448",NDA,"3,552,596"
South Amboy City,Middlesex,2018,JCPL,"35,363,443","22,193,611","882,885","494,972","58,934,911",PSEG,"2,915,166","752,348","47,381",NDA,"3,714,895"
South Amboy City,Middlesex,2019,JCPL,"34,565,180","24,105,826","904,399","496,956","60,072,361",PSEG,"2,869,385","807,164","124,096",NDA,"3,800,646"
South Amboy City,Middlesex,2020,JCPL,"35,751,401","23,845,937","843,544","496,551","60,937,433",PSEG,"2,587,518","677,743","116,033",NDA,"3,381,295"
South Amboy City,Middlesex,2021,JCPL,"37,105,486","24,750,078","1,006,604","496,320","63,358,488",PSEG,"2,748,630","736,027","140,997",NDA,"3,625,654"
South Amboy City,Middlesex,2022,JCPL,"36,909,737","26,584,190","1,010,249",NDA,"64,504,176",PSEG,"2,911,846","810,327","145,681",NDA,"3,867,855"
South Brunswick Township,Middlesex,2016,PSEG/JCPL,"133,291,479","354,997,242","95,257,170","2,713,204","586,259,095",PSEG,"12,674,555","11,334,321","3,065,150",NDA,"27,074,025"
South Brunswick Township,Middlesex,2017,PSEG/JCPL,"129,518,605","353,239,892","87,965,650","2,587,273","573,311,420",PSEG,"13,243,030","13,423,167","2,902,178",NDA,"29,568,375"
South Brunswick Township,Middlesex,2018,PSEG/JCPL,"136,415,518","404,707,731","64,029,383","3,005,251","608,157,883",PSEG,"15,131,189","16,978,861","3,464,355",NDA,"35,574,406"
South Brunswick Township,Middlesex,2019,PSEG/JCPL,"127,665,531","400,630,688","85,210,760","2,782,273","616,289,252",PSEG,"14,160,758","14,677,805","3,154,797",NDA,"31,993,360"
South Brunswick Township,Middlesex,2020,PSEG/JCPL,"133,067,479","365,978,595","75,363,724","2,921,481","577,331,279",PSEG,"13,119,957","14,073,941","2,866,627",NDA,"30,060,526"
South Brunswick Township,Middlesex,2021,PSEG/JCPL,"132,107,701","363,878,404","80,930,566","2,913,155","579,829,826",PSEG,"13,631,248","14,748,897","2,651,549",NDA,"31,031,694"
South Brunswick Township,Middlesex,2022,PSEG/JCPL,"130,293,088","357,553,402","85,077,433","2,748,443","575,672,366",PSEG,"14,193,553","15,274,346","2,812,958",NDA,"32,280,857"
South Plainfield Borough,Middlesex,2016,PSEG,"68,872,182","182,568,832","55,127,149","1,722,304","308,290,467",PSEG,"6,283,443","5,893,907","1,260,048",NDA,"13,437,397"
South Plainfield Borough,Middlesex,2017,PSEG,"65,571,245","179,546,066","55,766,228","1,630,348","302,513,887",PSEG,"6,170,439","6,118,945","1,389,920",NDA,"13,679,305"
South Plainfield Borough,Middlesex,2018,PSEG,"69,578,351","178,168,125","61,646,169","1,920,085","311,312,730",PSEG,"7,278,537","7,268,849","1,576,947",NDA,"16,124,332"
South Plainfield Borough,Middlesex,2019,PSEG,"66,053,278","173,189,826","61,717,618","1,796,100","302,756,822",PSEG,"6,801,252","6,784,490","1,524,263",NDA,"15,110,005"
South Plainfield Borough,Middlesex,2020,PSEG,"68,510,058","162,688,366","59,550,340","1,839,334","292,588,098",PSEG,"6,307,524","5,951,146","1,309,543",NDA,"13,568,213"
South Plainfield Borough,Middlesex,2021,PSEG,"69,158,057","162,230,044","59,904,350","1,846,418","293,138,869",PSEG,"6,709,890","6,163,591","1,435,510",NDA,"14,308,990"
South Plainfield Borough,Middlesex,2022,PSEG,"67,981,308","158,541,012","58,018,495","1,831,678","286,372,493",PSEG,"6,665,389","6,610,958","1,411,424",NDA,"14,687,771"
South River Borough,Middlesex,2016,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,269,208","1,305,350","32,594",NDA,"5,607,151"
South River Borough,Middlesex,2017,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,345,983","1,706,774","33,638",NDA,"6,086,395"
South River Borough,Middlesex,2018,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,890,555","2,001,839","40,508",NDA,"6,932,903"
South River Borough,Middlesex,2019,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,576,483","1,923,853","35,249",NDA,"6,535,585"
South River Borough,Middlesex,2020,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,281,189","1,738,273","30,331",NDA,"6,049,792"
South River Borough,Middlesex,2021,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,384,801","1,720,872","28,544",NDA,"6,134,217"
South River Borough,Middlesex,2022,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,604,451","1,712,658","28,843",NDA,"6,345,951"
Spotswood Borough,Middlesex,2016,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"1,959,633","607,349","2,329,791",NDA,"4,896,773"
Spotswood Borough,Middlesex,2017,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"2,060,964","643,700","2,570,213",NDA,"5,274,877"
Spotswood Borough,Middlesex,2018,JCPL,"27,893,164","14,862,188","46,878,449","427,323","90,061,124",PSEG,"2,334,763","752,044","2,689,690",NDA,"5,776,497"
Spotswood Borough,Middlesex,2019,JCPL,"26,762,289","14,768,507","44,771,550","427,188","86,729,534",PSEG,"2,145,409","713,589","2,532,791",NDA,"5,391,789"
Spotswood Borough,Middlesex,2020,JCPL,"27,520,110","13,686,810","40,468,510","426,766","82,102,196",PSEG,"1,977,897","635,150","2,477,875",NDA,"5,090,923"
Spotswood Borough,Middlesex,2021,JCPL,"28,198,736","13,706,678","15,708,500","372,302","57,986,216",PSEG,"2,090,279","690,232","1,268,689",NDA,"4,049,200"
Spotswood Borough,Middlesex,2022,JCPL,"27,889,664","14,020,123","11,295,117",NDA,"53,204,904",PSEG,"2,130,835","721,257","875,499",NDA,"3,727,591"
Woodbridge Township,Middlesex,2016,PSEG,"258,954,312","442,523,800","142,296,863","5,600,662","849,375,637",ETG/PSEG,"22,184,929","15,081,497","11,147,187",NDA,"48,413,613"
Woodbridge Township,Middlesex,2017,PSEG,"246,013,911","460,493,124","120,222,847","4,136,735","830,866,617",ETG/PSEG,"23,370,169","15,798,494","4,980,255",NDA,"44,148,917"
Woodbridge Township,Middlesex,2018,PSEG,"259,349,743","443,938,289","165,430,555","6,835,554","875,554,141",ETG/PSEG,"26,438,979","16,982,929","102,407,060",NDA,"145,828,968"
Woodbridge Township,Middlesex,2019,PSEG,"246,830,767","420,259,166","153,040,830","6,427,324","826,558,087",ETG/PSEG,"24,731,954","14,423,444","245,507,720",NDA,"284,663,118"
Woodbridge Township,Middlesex,2020,PSEG,"259,015,843","392,512,306","164,612,775","6,466,441","822,607,365",ETG/PSEG,"37,881,374","20,195,309","270,205,869",NDA,"328,282,552"
Woodbridge Township,Middlesex,2021,PSEG,"262,520,386","388,255,509","157,849,494","6,483,627","815,109,016",ETG/PSEG,"45,471,217","25,986,473","257,851,505",NDA,"329,309,195"
Woodbridge Township,Middlesex,2022,PSEG,"263,497,765","406,564,222","184,095,891","6,370,255","860,528,133",ETG/PSEG,"48,942,578","28,984,170","185,489,669",NDA,"263,416,417"
Aberdeen Township,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"4,612,620","1,031,031",CWC,NDA,"5,643,651"
Aberdeen Township,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"4,866,813","1,100,490",CWC,NDA,"5,967,303"
Aberdeen Township,Monmouth,2018,JCPL,"58,693,247","30,611,468","605,543","753,090","90,663,348",NJNG,"5,596,974","1,277,890",CWC,NDA,"6,874,864"
Aberdeen Township,Monmouth,2019,JCPL,"57,669,637","30,280,678","680,672","754,056","89,385,043",NJNG,"5,322,271","1,235,871",CWC,NDA,"6,558,142"
Aberdeen Township,Monmouth,2020,JCPL,"59,539,032","27,512,671","812,017","754,056","88,617,776",NJNG,"4,952,832","1,062,107",CWC,NDA,"6,014,939"
Aberdeen Township,Monmouth,2021,JCPL,"61,144,726","27,735,631","837,496","754,056","90,471,909",NJNG,"5,163,106","1,188,122",CWC,NDA,"6,351,228"
Aberdeen Township,Monmouth,2022,JCPL,"60,787,253","28,622,655","850,328",NDA,"90,260,236",NJNG,"5,134,256","1,221,678",CWC,NDA,"6,355,934"
Allenhurst Borough,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"452,328","75,905",CWC,NDA,"528,233"
Allenhurst Borough,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"485,390","79,122",CWC,NDA,"564,512"
Allenhurst Borough,Monmouth,2018,JCPL,"5,074,239","2,700,924","17,463","83,479","7,876,105",NJNG,"559,396","83,440",CWC,NDA,"642,836"
Allenhurst Borough,Monmouth,2019,JCPL,"4,903,906","2,527,909","17,688","91,068","7,540,571",NJNG,"509,360","83,036",CWC,NDA,"592,396"
Allenhurst Borough,Monmouth,2020,JCPL,"5,876,198","2,214,905","18,477","91,362","8,200,942",NJNG,"516,095","73,381",CWC,NDA,"589,476"
Allenhurst Borough,Monmouth,2021,JCPL,"5,832,469","2,483,311","16,189","91,572","8,423,541",NJNG,"548,612","81,880",CWC,NDA,"630,492"
Allenhurst Borough,Monmouth,2022,JCPL,"5,449,604","2,386,635","9,971",NDA,"7,846,210",NJNG,"511,654","77,882",CWC,NDA,"589,536"
Allentown Borough,Monmouth,2016,PSEG,"6,715,178","5,197,437","237,658","206,511","12,356,784",PSEG,"526,532","256,659","5,728",NDA,"788,919"
Allentown Borough,Monmouth,2017,PSEG,"6,478,881","5,045,898","261,792","185,440","11,972,011",PSEG,"518,634","246,125","5,664",NDA,"770,422"
Allentown Borough,Monmouth,2018,PSEG,"6,931,898","5,349,768","231,446","206,210","12,719,322",PSEG,"588,438","296,482","6,287",NDA,"891,207"
Allentown Borough,Monmouth,2019,PSEG,"6,573,025","5,017,867","216,393","209,446","12,016,731",PSEG,"555,038","275,403","6,757",NDA,"837,198"
Allentown Borough,Monmouth,2020,PSEG,"6,653,337","4,464,395","151,273","159,352","11,428,357",PSEG,"511,123","237,465","5,804",NDA,"754,392"
Allentown Borough,Monmouth,2021,PSEG,"6,667,524","4,810,877","66,462","158,961","11,703,824",PSEG,"528,183","265,266","6,119",NDA,"799,568"
Allentown Borough,Monmouth,2022,PSEG,"6,685,379","5,193,244","23,646","151,563","12,053,832",PSEG,"547,904","269,901","6,589",NDA,"824,394"
Asbury Park City,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"2,862,536","3,988,152",CWC,NDA,"6,850,688"
Asbury Park City,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG,"2,982,724","4,033,602",CWC,NDA,"7,016,326"
Asbury Park City,Monmouth,2018,JCPL,"36,249,006","61,906,559","2,679,920","1,299,202","102,134,687",NJNG,"3,356,720","4,470,308",CWC,NDA,"7,827,028"
Asbury Park City,Monmouth,2019,JCPL,"35,748,039","61,966,776","2,214,400","1,298,111","101,227,326",NJNG,"3,149,354","4,266,370",CWC,NDA,"7,415,724"
Asbury Park City,Monmouth,2020,JCPL,"37,662,168","57,813,691","2,333,920","1,295,740","99,105,519",NJNG,"2,949,341","3,901,561",CWC,NDA,"6,850,902"
Asbury Park City,Monmouth,2021,JCPL,"39,173,387","58,129,401","2,705,520","1,293,319","101,301,627",NJNG,"3,091,883","4,019,502",CWC,NDA,"7,111,385"
