Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Estell Manor City,Atlantic,2016,ACE,"7,371,545","1,496,062","113,280","8,022","8,988,909",SJG,"82,028","39,225",NDA,NDA,"121,254"
Estell Manor City,Atlantic,2017,ACE,"6,902,295","1,407,595","102,480","8,022","8,420,392",SJG,"78,646","38,615",NDA,NDA,"117,261"
Estell Manor City,Atlantic,2018,ACE,"7,336,133","1,624,032","113,760","8,022","9,081,947",SJG,"97,096","52,832",NDA,NDA,"149,928"
Estell Manor City,Atlantic,2019,ACE,"7,059,089","1,902,506","96,320","8,022","9,065,937",SJG,"87,924","83,387",NDA,NDA,"171,311"
Estell Manor City,Atlantic,2020,ACE,"6,798,875","1,768,454","72,320","8,022","8,647,671",SJG,"89,950","69,189",NDA,NDA,"159,138"
Estell Manor City,Atlantic,2021,ACE,"7,183,623","1,923,927","103,440","8,023","9,219,013",SJG,"96,498","61,839",NDA,NDA,"158,337"
Estell Manor City,Atlantic,2022,ACE,"6,916,487","2,080,452","110,560","8,022","9,115,521",SJG,"108,893","62,355",NDA,NDA,"171,248"
Folsom Borough,Atlantic,2016,ACE,"4,383,822","5,440,677","2,133,749","67,302","12,025,550",SJG,"488,035","599,680","405,215",NDA,"1,492,931"
Folsom Borough,Atlantic,2017,ACE,"4,110,174","5,720,582","1,895,815","67,456","11,794,027",SJG,"480,993","615,982","408,867",NDA,"1,505,842"
Folsom Borough,Atlantic,2018,ACE,"4,407,025","5,916,262","1,906,769","67,389","12,297,445",SJG,"647,931","589,472","358,430",NDA,"1,595,833"
Folsom Borough,Atlantic,2019,ACE,"4,082,735","4,805,729","1,800,481","66,564","10,755,509",SJG,"639,646","549,088","415,438",NDA,"1,604,172"
Folsom Borough,Atlantic,2020,ACE,"4,042,155","3,931,316","1,693,561","69,695","9,736,727",SJG,"617,345","523,917","414,265",NDA,"1,555,527"
Folsom Borough,Atlantic,2021,ACE,"4,141,572","3,949,650","1,549,792","70,086","9,711,100",SJG,"645,817","570,476","469,335",NDA,"1,685,628"
Folsom Borough,Atlantic,2022,ACE,"3,924,121","4,355,235","1,389,996","66,225","9,735,577",SJG,"658,377","601,908","441,566",NDA,"1,701,852"
Galloway Township,Atlantic,2016,ACE,"113,690,763","189,860,703","784,343","591,105","304,926,914",SJG,"16,229,051","46,484,189","9,541",NDA,"62,722,780"
Galloway Township,Atlantic,2017,ACE,"105,275,850","185,153,228","772,316","611,879","291,813,273",SJG,"15,896,759","50,163,902","13,344",NDA,"66,074,005"
Galloway Township,Atlantic,2018,ACE,"111,819,463","191,301,181","710,873","625,643","304,457,160",SJG,"18,936,373","57,143,919","16,771",NDA,"76,097,063"
Galloway Township,Atlantic,2019,ACE,"105,972,733","196,295,646","651,079","636,698","303,556,156",SJG,"17,874,972","60,928,313","12,834",NDA,"78,816,118"
Galloway Township,Atlantic,2020,ACE,"106,520,097","152,027,600","563,888","631,660","259,743,245",SJG,"16,804,206","57,503,436","12,128",NDA,"74,319,770"
Galloway Township,Atlantic,2021,ACE,"107,031,312","195,266,343","535,327","633,412","303,466,394",SJG,"17,181,902","57,508,814","11,897",NDA,"74,702,613"
Galloway Township,Atlantic,2022,ACE,"105,794,776","170,664,148","513,021","635,545","277,607,490",SJG,"18,169,303","68,884,343","11,312",NDA,"87,064,958"
Hamilton Township,Atlantic,2016,ACE,"128,920,558","147,544,851","306,743","916,734","277,688,886",SJG,"9,028,149","7,058,302","42,742",NDA,"16,129,193"
Hamilton Township,Atlantic,2017,ACE,"120,306,215","146,310,313","507,709","927,235","268,051,472",SJG,"9,345,603","7,618,431","48,929",NDA,"17,012,964"
Hamilton Township,Atlantic,2018,ACE,"128,232,676","148,681,651","623,739","936,922","278,474,988",SJG,"11,084,599","10,367,980","36,818",NDA,"21,489,397"
Hamilton Township,Atlantic,2019,ACE,"122,817,797","139,196,305","477,721","937,589","263,429,412",SJG,"10,442,519","9,750,151","24,731",NDA,"20,217,402"
Hamilton Township,Atlantic,2020,ACE,"125,215,178","120,925,896","413,337","936,776","247,491,187",SJG,"10,090,044","8,638,325","20,067",NDA,"18,748,436"
Hamilton Township,Atlantic,2021,ACE,"128,186,934","126,584,259","294,754","953,037","256,018,984",SJG,"10,886,754","8,915,096","19,906",NDA,"19,821,756"
Hamilton Township,Atlantic,2022,ACE,"125,448,448","124,014,633","176,691","953,401","250,593,173",SJG,"11,114,546","8,687,499","18,629",NDA,"19,820,675"
Hammonton Town,Atlantic,2016,ACE,"64,434,124","65,470,503","6,505,951","1,087,703","137,498,281",SJG,"5,858,941","4,037,174","71,176",NDA,"9,967,291"
