Year,County,Low Income,Moderate Income,High Income,Very High Income,Total Income
2021,Monmouth,61318.00,53984.00,44398.00,91038.00,250738.00
2021,Morris,34992.00,44668.00,34754.00,78433.00,192847.00
2021,Ocean,78432.00,71955.00,39553.00,50796.00,240736.00
2021,Passaic,61374.00,48715.00,28844.00,38130.00,177063.00
2021,Salem,8558.00,7922.00,4730.00,3763.00,24973.00
2021,Somerset,23142.00,30095.00,24134.00,53568.00,130939.00
2021,Sussex,11903.00,17531.00,12732.00,16601.00,58767.00
2021,Union,56422.00,54114.00,34799.00,56057.00,201392.00
2021,Warren,15329.00,11823.00,9890.00,9311.00,46353.00
2022,Atlantic,34913.00,30657.00,21030.00,20372.00,106972.00
2022,Bergen,78661.00,77648.00,61768.00,136860.00,354937.00
2022,Burlington,39287.00,48276.00,36308.00,52463.00,176334.00
2022,Camden,62120.00,58278.00,35436.00,47696.00,203530.00
2022,Cape May,14447.00,12863.00,9570.00,11683.00,48563.00
2022,Cumberland,21827.00,17493.00,8377.00,7264.00,54961.00
2022,Essex,115043.00,80964.00,44458.00,80906.00,321371.00
2022,Gloucester,26607.00,30425.00,22916.00,31833.00,111781.00
2022,Hudson,91623.00,80888.00,48886.00,83129.00,304526.00
2022,Hunterdon,7003.00,10559.00,8434.00,24519.00,50515.00
2022,Mercer,40738.00,34133.00,24955.00,45163.00,144989.00
2022,Middlesex,70203.00,79598.00,61949.00,95200.00,306950.00
2022,Monmouth,54236.00,53676.00,49986.00,95869.00,253767.00
2022,Morris,32190.00,41569.00,35063.00,85319.00,194141.00
2022,Ocean,71954.00,69293.00,45145.00,55591.00,241983.00
2022,Passaic,60997.00,47346.00,30385.00,40564.00,179292.00
2022,Salem,7205.00,8866.00,4934.00,4216.00,25221.00
2022,Somerset,18646.00,28325.00,24703.00,58504.00,130178.00
2022,Sussex,10272.00,14709.00,14780.00,19124.00,58885.00
2022,Union,51302.00,51436.00,34870.00,64967.00,202575.00
2022,Warren,10409.00,12785.00,12126.00,10187.00,45507.00
