Year,County,Total:,"    $10,000 to $14,999","    $100,000 to $124,999","    $125,000 to $149,999","    $15,000 to $19,999","    $150,000 to $199,999","    $20,000 to $24,999","    $200,000 or more","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $44,999","    $45,000 to $49,999","    $50,000 to $59,999","    $60,000 to $74,999","    $75,000 to $99,999","    Less than $10,000"
2013,Essex,"277,102","14,139","20,565","13,630","15,509","16,473","16,418","24,666","14,414","11,753","12,272","11,655","9,377","18,391","24,101","27,193","26,546"
2013,Gloucester,"103,864","3,481","12,755","7,921","4,474","9,253","3,430","6,014","4,177","3,619","5,176","3,496","3,971","6,947","11,493","13,609","4,048"
2013,Hudson,"247,490","13,270","20,514","12,933","15,317","16,136","13,564","18,736","9,819","10,813","10,558","8,479","7,693","18,926","21,950","27,339","21,443"
2013,Hunterdon,"45,792",932,"5,468","3,651","1,008","6,483",929,"9,435",881,747,"1,520","1,626","1,697","1,662","3,559","4,906","1,288"
2013,Mercer,"131,623","6,217","11,830","7,815","4,560","11,615","6,195","13,962","4,241","4,551","4,711","3,916","4,166","8,507","15,496","15,970","7,871"
2013,Middlesex,"283,211","9,085","34,829","22,354","9,833","24,698","10,528","24,419","10,651","9,921","10,187","9,622","8,786","19,087","27,000","38,499","13,712"
2013,Monmouth,"232,158","7,451","24,747","19,586","6,337","24,341","7,040","30,258","9,275","8,205","6,318","7,262","9,259","15,357","17,052","30,184","9,486"
2013,Morris,"178,951","4,464","21,345","15,514","3,720","20,874","4,931","32,055","4,305","4,202","3,862","4,667","4,853","10,287","13,960","25,554","4,358"
2013,Ocean,"217,698","11,613","22,204","14,615","12,134","12,615","11,118","9,975","8,546","11,242","10,094","8,871","8,664","17,004","22,448","27,432","9,123"
2013,Passaic,"161,331","9,212","14,922","9,690","8,123","11,758","7,982","11,126","7,545","7,061","6,357","7,438","5,473","10,365","13,349","18,856","12,074"
2013,Salem,"24,280","1,120","3,002","1,308",901,"1,378",930,780,"1,392","1,122","1,068",908,972,"1,483","2,712","3,393","1,811"
2013,Somerset,"112,974","2,431","12,787","7,851","2,521","12,821","3,337","21,750","2,789","2,903","2,949","3,697","2,795","6,005","9,464","15,767","3,107"
2013,Sussex,"54,765","1,897","7,229","3,987","1,417","6,236","1,216","5,546","1,367","2,416","1,789","1,661","1,548","3,673","5,159","8,058","1,566"
2013,Union,"186,951","7,665","15,473","12,910","8,560","13,043","9,172","19,673","6,213","8,066","8,898","7,513","5,798","14,120","17,293","20,383","12,171"
2013,Warren,"41,870","1,725","3,652","3,117","1,453","3,002","1,218","3,114","1,699","2,027","1,396","1,674","2,550","4,380","3,390","5,937","1,536"
