Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Union Twp,Hunterdon,Union Twp (Hunterdon) Hunterdon,2022,JCPL,"24,977,113","29,214,986","62,657",NDA,"54,254,756",ETG,"1,239,945","1,235,175",NDA,NDA,"2,475,120"
West Amwell Twp,Hunterdon,West Amwell Twp Hunterdon,2022,JCPL,"14,575,438","4,310,931","3,027,199",NDA,"21,913,568",ETG,"589,599","184,572",NDA,NDA,"774,171"
East Windsor Twp,Mercer,East Windsor Twp Mercer,2022,PSEG/JCPL,"78,127,767","96,542,379","12,124,104","1,809","186,796,059",PSEG,"6,098,634","5,124,375","396,008",NDA,"11,619,017"
Ewing Twp,Mercer,Ewing Twp Mercer,2022,PSEG,"110,141,665","210,426,982","18,584,840","2,582,588","341,736,075",ETG/PSEG,"9,615,481","14,504,569","1,721,115",NDA,"25,841,165"
Hamilton Twp,Mercer,Hamilton Twp (Mercer) Mercer,2022,PSEG,"283,360,612","305,807,693","19,939,236","4,818,592","613,926,133",PSEG,"24,539,413","14,957,295","908,281",NDA,"40,404,990"
Hightstown Boro,Mercer,Hightstown Boro Mercer,2022,JCPL,"15,518,082","24,647,163","2,098,661",NDA,"42,263,906",PSEG,"1,701,194","1,408,226","50,504",NDA,"3,159,925"
Hopewell Boro,Mercer,Hopewell Boro Mercer,2022,PSEG,"6,662,707","13,148,127","110,043","108,435","20,029,312",ETG,"1,252,015","393,640","910,024",NDA,"2,555,679"
Hopewell Twp,Mercer,Hopewell Twp (Mercer) Mercer,2022,PSEG/JCPL,"78,912,203","73,720,389","57,864,272","1,194,762","211,691,626",ETG/PSEG,"8,570,373","2,552,646","633,359",NDA,"11,756,378"
Lawrence Twp,Mercer,Lawrence Twp (Mercer) Mercer,2022,PSEG,"102,334,191","179,263,977","33,779,016","1,655,511","317,032,695",ETG/PSEG,"9,721,956","11,198,297","2,515,133",NDA,"23,435,386"
Pennington Boro,Mercer,Pennington Boro Mercer,2022,PSEG,"10,683,237","11,734,913","101,334","191,802","22,711,286",ETG,"2,122,097","1,178,264","7,247,465",NDA,"10,547,826"
Princeton,Mercer,Princeton Mercer,2022,PSEG,"96,330,062","132,472,070","526,638","1,765,961","231,094,731",PSEG,"9,296,678","18,528,658","50,574",NDA,"27,875,909"
Robbinsville Twp,Mercer,Robbinsville Twp Mercer,2022,PSEG/JCPL,"54,044,697","106,205,467","13,830","770,024","161,034,018",PSEG,"4,295,877","3,529,920","25,285",NDA,"7,851,082"
Trenton City,Mercer,Trenton City Mercer,2022,PSEG,"194,508,270","345,866,858","49,212,049","11,461,761","601,048,938",PSEG,"23,267,370","13,230,118","6,179,810","12,928","42,690,226"
West Windsor Twp,Mercer,West Windsor Twp Mercer,2022,PSEG/JCPL,"93,185,221","181,068,637","82,123,154","2,071,727","358,448,739",PSEG,"9,234,020","4,429,277","8,415",NDA,"13,671,713"
Carteret Boro,Middlesex,Carteret Boro Middlesex,2022,PSEG,"60,412,575","152,776,176","121,634,184","1,746,782","336,569,717",ETG/PSEG,"11,157,536","7,782,131","5,346,412",NDA,"24,286,079"
Cranbury Twp,Middlesex,Cranbury Twp Middlesex,2022,PSEG/JCPL,"17,526,584","124,707,830","4,696,660","338,827","147,269,901",PSEG,"1,540,813","5,525,068","141,600",NDA,"7,207,481"
Dunellen Boro,Middlesex,Dunellen Boro Middlesex,2022,PSEG,"18,913,870","9,001,811","702,485","428,996","29,047,162",PSEG,"2,062,727","786,294","9,770",NDA,"2,858,791"
East Brunswick Twp,Middlesex,East Brunswick Twp Middlesex,2022,PSEG/JCPL,"143,321,865","194,410,874","10,673,031","2,624,390","351,030,160",PSEG,"14,760,070","7,002,597","246,168",NDA,"22,008,835"
Edison Twp,Middlesex,Edison Twp Middlesex,2022,PSEG,"251,621,685","773,661,639","77,694,731","6,277,183","1,109,255,238",ETG/PSEG,"40,727,128","43,247,060","6,271,232",NDA,"90,245,420"
Helmetta Boro,Middlesex,Helmetta Boro Middlesex,2022,PSEG/JCPL,"7,927,161","1,652,748",960,NDA,"9,580,869",PSEG,"674,398","59,917",NDA,NDA,"734,314"
Highland Park Boro,Middlesex,Highland Park Boro Middlesex,2022,PSEG,"40,065,271","20,617,506","304,756","778,004","61,765,537",PSEG,"3,378,179","2,278,776","12,552",NDA,"5,669,507"
Jamesburg Boro,Middlesex,Jamesburg Boro Middlesex,2022,PSEG/JCPL,"20,729,504","10,839,615","153,301",NDA,"31,722,420",PSEG,"1,516,283","600,491","11,485",NDA,"2,128,260"
Metuchen Boro,Middlesex,Metuchen Boro Middlesex,2022,PSEG,"45,304,451","45,405,809","2,134,242","921,272","93,765,774",ETG/PSEG,"10,157,907","3,845,072","4,398,750",NDA,"18,401,729"
Middlesex Boro,Middlesex,Middlesex Boro Middlesex,2022,PSEG,"39,422,268","44,281,263","8,312,056","775,759","92,791,346",PSEG,"3,792,858","2,900,227","714,622",NDA,"7,407,707"
Milltown Boro,Middlesex,Milltown Boro Middlesex,2022,MEU/PSEG,"117,586",NDA,NDA,NDA,"117,586",PSEG,"2,378,201","647,389","25,674",NDA,"3,051,264"
Monroe Twp,Middlesex,Monroe Twp (Middlesex) Middlesex,2022,PSEG/JCPL,"236,820,330","160,050,827","35,146,869","6,216","432,024,242",NJNG/PSEG,"16,780,627","4,197,143","106,818",NDA,"21,084,588"
New Brunswick City,Middlesex,New Brunswick City Middlesex,2022,PSEG,"96,477,676","409,242,109","94,643,090","5,811,749","606,174,624",PSEG,"8,067,137","32,391,324","1,197,525",NDA,"41,655,986"
North Brunswick Twp,Middlesex,North Brunswick Twp Middlesex,2022,PSEG,"108,706,156","133,213,074","13,689,752","2,216,342","257,825,324",PSEG,"10,823,217","6,736,833","348,178",NDA,"17,908,229"
Old Bridge Twp,Middlesex,Old Bridge Twp Middlesex,2022,JCPL,"198,183,950","127,920,292","9,838,345",NDA,"335,942,587",NJNG/PSEG,"16,227,664","9,237,982","2,539,771",NDA,"28,005,417"
Perth Amboy City,Middlesex,Perth Amboy City Middlesex,2022,PSEG,"102,357,634","131,319,631","33,085,326","2,442,337","269,204,928",ETG/PSEG,"21,923,917","12,860,287","46,080,749",NDA,"80,864,953"
Piscataway Twp,Middlesex,Piscataway Twp Middlesex,2022,PSEG,"131,613,172","756,943,844","58,733,385","3,691,370","950,981,771",PSEG,"12,502,970","18,899,564","2,382,280",NDA,"33,784,815"
Plainsboro Twp,Middlesex,Plainsboro Twp Middlesex,2022,PSEG,"85,702,629","270,295,548","3,028,029","767,149","359,793,355",PSEG,"4,049,843","5,483,262","3,982,606",NDA,"13,515,710"
Sayreville Boro,Middlesex,Sayreville Boro Middlesex,2022,PSEG/JCPL,"126,156,376","110,603,377","328,269,849",NDA,"565,029,602",PSEG,"12,375,636","67,850,198","12,145,932",NDA,"92,371,766"
South Amboy City,Middlesex,South Amboy City Middlesex,2022,JCPL,"36,909,737","26,584,190","1,010,249",NDA,"64,504,176",PSEG,"2,911,846","810,327","145,681",NDA,"3,867,855"
South Brunswick Twp,Middlesex,South Brunswick Twp Middlesex,2022,PSEG/JCPL,"130,293,088","357,553,402","85,077,433","2,748,443","575,672,366",PSEG,"14,193,553","15,274,346","2,812,958",NDA,"32,280,857"
South Plainfield Boro,Middlesex,South Plainfield Boro Middlesex,2022,PSEG,"67,981,308","158,541,012","58,018,495","1,831,678","286,372,493",PSEG,"6,665,389","6,610,958","1,411,424",NDA,"14,687,771"
South River Boro,Middlesex,South River Boro Middlesex,2022,MEU,NDA,NDA,NDA,NDA,NDA,PSEG,"4,604,451","1,712,658","28,843",NDA,"6,345,951"
Spotswood Boro,Middlesex,Spotswood Boro Middlesex,2022,JCPL,"27,889,664","14,020,123","11,295,117",NDA,"53,204,904",PSEG,"2,130,835","721,257","875,499",NDA,"3,727,591"
Woodbridge Twp,Middlesex,Woodbridge Twp Middlesex,2022,PSEG,"263,497,765","406,564,222","184,095,891","6,370,255","860,528,133",ETG/PSEG,"48,942,578","28,984,170","185,489,669",NDA,"263,416,417"
Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2022,JCPL,"60,787,253","28,622,655","850,328",NDA,"90,260,236",NJNG,"5,134,256","1,221,678",CWC,NDA,"6,355,934"
Allenhurst Boro,Monmouth,Allenhurst Boro Monmouth,2022,JCPL,"5,449,604","2,386,635","9,971",NDA,"7,846,210",NJNG,"511,654","77,882",CWC,NDA,"589,536"
Allentown Boro,Monmouth,Allentown Boro Monmouth,2022,PSEG,"6,685,379","5,193,244","23,646","151,563","12,053,832",PSEG,"547,904","269,901","6,589",NDA,"824,394"
Asbury Park City,Monmouth,Asbury Park City Monmouth,2022,JCPL,"39,277,392","58,214,054","2,205,040",NDA,"99,696,486",NJNG,"3,040,916","4,031,523",CWC,NDA,"7,072,439"
Atlantic Highlands Boro,Monmouth,Atlantic Highlands Boro Monmouth,2022,JCPL,"19,182,769","10,520,378","147,364",NDA,"29,850,511",NJNG,"1,649,865","567,979",CWC,NDA,"2,217,844"
Avon-by-the-sea Boro,Monmouth,Avon-by-the-sea Boro Monmouth,2022,JCPL,"9,587,172","2,577,494","144,602",NDA,"12,309,268",NJNG,"938,551","182,240",CWC,NDA,"1,120,791"
Belmar Boro,Monmouth,Belmar Boro Monmouth,2022,JCPL,"26,478,167","16,951,894","527,894",NDA,"43,957,955",NJNG,"2,094,984","929,232",CWC,NDA,"3,024,216"
Bradley Beach Boro,Monmouth,Bradley Beach Boro Monmouth,2022,JCPL,"17,155,706","7,714,821","97,395",NDA,"24,967,922",NJNG,"1,503,049","511,609",CWC,NDA,"2,014,658"
Brielle Boro,Monmouth,Brielle Boro Monmouth,2022,JCPL,"26,323,062","7,752,717",NDA,NDA,"34,075,779",NJNG,"2,140,017","401,365",CWC,NDA,"2,541,382"
Colts Neck Twp,Monmouth,Colts Neck Twp Monmouth,2022,JCPL,"67,925,401","22,515,849","10,355,438",NDA,"100,796,688",NJNG,"5,579,816","1,169,213",CWC,NDA,"6,749,029"
Deal Boro,Monmouth,Deal Boro Monmouth,2022,JCPL,"19,568,123","4,691,306",NDA,NDA,"24,259,429",NJNG,"1,488,733","252,763",CWC,NDA,"1,741,496"
Eatontown Boro,Monmouth,Eatontown Boro Monmouth,2022,JCPL,"47,797,701","117,538,971","2,727,792",NDA,"168,064,464",NJNG,"2,638,236","3,009,468",CWC,NDA,"5,647,704"
Englishtown Boro,Monmouth,Englishtown Boro Monmouth,2022,JCPL,"9,172,046","10,060,774","27,880",NDA,"19,260,700",NJNG,"639,297","425,068",CWC,NDA,"1,064,365"
Fair Haven Boro,Monmouth,Fair Haven Boro Monmouth,2022,JCPL,"27,121,625","6,413,891",NDA,NDA,"33,535,516",NJNG,"2,457,283","274,771",CWC,NDA,"2,732,054"
Farmingdale Boro,Monmouth,Farmingdale Boro Monmouth,2022,JCPL,"5,699,255","7,162,088","76,129",NDA,"12,937,472",NJNG,"414,695","232,778",CWC,NDA,"647,473"
Freehold Boro,Monmouth,Freehold Boro Monmouth,2022,JCPL,"28,964,028","41,370,549","55,261,844",NDA,"125,596,421",NJNG,"2,601,595","8,801,383",CWC,NDA,"11,402,978"
Freehold Twp,Monmouth,Freehold Twp Monmouth,2022,JCPL,"137,510,378","173,071,706","22,211,292",NDA,"332,793,376",NJNG,"11,224,014","5,948,594",CWC,NDA,"17,172,608"
Hazlet Twp,Monmouth,Hazlet Twp Monmouth,2022,JCPL,"61,048,873","44,264,045","5,291,788",NDA,"110,604,706",NJNG,"5,529,966","2,018,443",CWC,NDA,"7,548,409"
Highlands Boro,Monmouth,Highlands Boro Monmouth,2022,JCPL,"19,471,968","12,712,783","14,090",NDA,"32,198,841",NJNG,"1,010,303","337,149",CWC,NDA,"1,347,452"
Holmdel Twp,Monmouth,Holmdel Twp Monmouth,2022,JCPL,"81,553,956","85,095,612","14,211,720",NDA,"180,861,288",NJNG,"7,502,107","2,577,587",CWC,NDA,"10,079,694"
Howell Twp,Monmouth,Howell Twp Monmouth,2022,JCPL,"191,240,013","116,057,823","5,067,589",NDA,"312,365,425",NJNG,"14,306,615","6,756,170",CWC,NDA,"21,062,785"
Interlaken Boro,Monmouth,Interlaken Boro Monmouth,2022,JCPL,"4,748,666","191,441",NDA,NDA,"4,940,107",NJNG,"540,310","3,691",CWC,NDA,"544,001"
Keansburg Boro,Monmouth,Keansburg Boro Monmouth,2022,JCPL,"28,158,616","14,424,220","1,211,258",NDA,"43,794,094",NJNG,"2,437,144","658,455",CWC,NDA,"3,095,599"
Keyport Boro,Monmouth,Keyport Boro Monmouth,2022,JCPL,"22,321,008","20,800,669","242,338",NDA,"43,364,015",NJNG,"1,781,687","947,530",CWC,NDA,"2,729,217"
Lake Como Boro,Monmouth,Lake Como Boro Monmouth,2022,JCPL,"5,744,539","2,684,862","8,704",NDA,"8,438,105",NJNG,"565,819","106,104",CWC,NDA,"671,923"
Little Silver Boro,Monmouth,Little Silver Boro Monmouth,2022,JCPL,"30,044,210","15,668,832","59,491",NDA,"45,772,533",NJNG,"2,749,802","559,142",CWC,NDA,"3,308,944"
Loch Arbour Village,Monmouth,Loch Arbour Village Monmouth,2022,JCPL,"1,956,868","191,580",NDA,NDA,"2,148,448",NJNG,"189,537","30,002",CWC,NDA,"219,539"
Long Branch City,Monmouth,Long Branch City Monmouth,2022,JCPL,"103,713,841","101,516,929","892,644",NDA,"206,123,414",NJNG,"8,220,622","5,580,409",CWC,NDA,"13,801,031"
Manalapan Twp,Monmouth,Manalapan Twp Monmouth,2022,JCPL,"159,515,830","77,409,936","8,481,804",NDA,"245,407,570",NJNG,"12,743,766","2,251,148",CWC,NDA,"14,994,914"
Manasquan Boro,Monmouth,Manasquan Boro Monmouth,2022,JCPL,"30,191,355","15,003,853","450,044",NDA,"45,645,252",NJNG,"2,564,320","590,870",CWC,NDA,"3,155,190"
Marlboro Twp,Monmouth,Marlboro Twp Monmouth,2022,JCPL,"168,673,046","72,370,857","4,106,604",NDA,"245,150,507",NJNG,"15,799,812","2,915,268",CWC,NDA,"18,715,080"
Matawan Boro,Monmouth,Matawan Boro Monmouth,2022,JCPL,"37,529,568","21,564,888","3,815,493",NDA,"62,909,949",NJNG,"2,338,732","1,466,136",CWC,NDA,"3,804,868"
Middletown Twp,Monmouth,Middletown Twp Monmouth,2022,JCPL,"270,598,238","284,407,706","13,513,682",NDA,"568,519,626",NJNG,"21,976,306","6,014,054",CWC,NDA,"27,990,360"
Millstone Twp,Monmouth,Millstone Twp Monmouth,2022,JCPL,"56,291,028","17,974,591","282,693",NDA,"74,548,312",PSEG,"4,917,912","1,591,890","34,593",NDA,"6,544,394"
Monmouth Beach Boro,Monmouth,Monmouth Beach Boro Monmouth,2022,JCPL,"21,569,548","5,572,699","6,189,838",NDA,"33,332,085",NJNG,"1,412,313","369,621",CWC,NDA,"1,781,934"
Neptune City Boro,Monmouth,Neptune City Boro Monmouth,2022,JCPL,"15,052,220","39,936,474",NDA,NDA,"54,988,694",NJNG,"1,102,693","941,611",CWC,NDA,"2,044,304"
Neptune Twp,Monmouth,Neptune Twp Monmouth,2022,JCPL,"93,829,997","132,038,666","14,884,015",NDA,"240,752,678",NJNG,"8,048,697","4,563,304",CWC,NDA,"12,612,001"
Ocean Twp,Monmouth,Ocean Twp (Monmouth) Monmouth,2022,JCPL,"111,158,325","77,520,646","1,017,608",NDA,"189,696,579",NJNG,"9,086,547","4,396,028",CWC,NDA,"13,482,575"
Oceanport Boro,Monmouth,Oceanport Boro Monmouth,2022,JCPL,"24,171,080","9,855,752","8,951,597",NDA,"42,978,429",NJNG,"2,329,519","378,367",CWC,NDA,"2,707,886"
Red Bank Boro,Monmouth,Red Bank Boro Monmouth,2022,JCPL,"38,131,255","85,015,828","25,556,074",NDA,"148,703,157",NJNG,"2,882,611","3,816,959",CWC,NDA,"6,699,570"
Roosevelt Boro,Monmouth,Roosevelt Boro Monmouth,2022,JCPL,"3,087,352","644,923","64,248",NDA,"3,796,523",PSEG,"304,281","27,147",NDA,NDA,"331,428"
Rumson Boro,Monmouth,Rumson Boro Monmouth,2022,JCPL,"49,746,362","11,161,564",NDA,NDA,"60,907,926",NJNG,"4,567,498","416,041",CWC,NDA,"4,983,539"
Sea Bright Boro,Monmouth,Sea Bright Boro Monmouth,2022,JCPL,"9,387,326","7,178,489",NDA,NDA,"16,565,815",NJNG,"592,557","316,408",CWC,NDA,"908,965"
Sea Girt Boro,Monmouth,Sea Girt Boro Monmouth,2022,JCPL,"16,445,421","4,622,965",NDA,NDA,"21,068,386",NJNG,"1,435,896","285,864",CWC,NDA,"1,721,760"
Shrewsbury Boro,Monmouth,Shrewsbury Boro Monmouth,2022,JCPL,"16,674,413","28,437,785","1,202,181",NDA,"46,314,379",NJNG,"1,597,517","997,061",CWC,NDA,"2,594,578"
Shrewsbury Twp,Monmouth,Shrewsbury Twp Monmouth,2022,JCPL,"1,433,830","5,530,162",NDA,NDA,"6,963,992",NJNG,"177,951","101,383",CWC,NDA,"279,334"
Spring Lake Boro,Monmouth,Spring Lake Boro Monmouth,2022,JCPL,"24,599,011","10,792,265",NDA,NDA,"35,391,276",NJNG,"2,253,401","431,599",CWC,NDA,"2,685,000"
Spring Lake Heights Boro,Monmouth,Spring Lake Heights Boro Monmouth,2022,JCPL,"21,439,526","7,316,359",NDA,NDA,"28,755,885",NJNG,"1,490,477","569,462",CWC,NDA,"2,059,939"
Tinton Falls Boro,Monmouth,Tinton Falls Boro Monmouth,2022,JCPL,"61,064,095","103,563,975","7,818,951",NDA,"172,447,021",NJNG,"5,402,149","3,943,728",CWC,NDA,"9,345,877"
Union Beach Boro,Monmouth,Union Beach Boro Monmouth,2022,JCPL,"19,236,228","3,880,901","8,952,437",NDA,"32,069,566",NJNG,"1,709,199","671,045",CWC,NDA,"2,380,244"
Upper Freehold Twp,Monmouth,Upper Freehold Twp Monmouth,2022,PSEG/JCPL,"36,075,107","11,194,544","162,766","58,671","47,491,088",PSEG,"2,242,466","909,720",NDA,NDA,"3,152,186"
Wall Twp,Monmouth,Wall Twp Monmouth,2022,JCPL,"111,350,872","153,457,796","16,829,228",NDA,"281,637,896",NJNG,"9,680,515","4,442,841",CWC,NDA,"14,123,356"
West Long Branch Boro,Monmouth,West Long Branch Boro Monmouth,2022,JCPL,"29,720,540","47,883,116",NDA,NDA,"77,603,656",NJNG,"2,655,546","2,059,682",CWC,NDA,"4,715,228"
Boonton Town,Morris,Boonton Town Morris,2022,JCPL,"27,181,457","23,527,264","1,471,953",NDA,"52,180,674",NJNG,"2,774,158","1,529,056",CWC,NDA,"4,303,214"
Boonton Twp,Morris,Boonton Twp Morris,2022,JCPL,"22,718,896","21,061,666","13,225,152",NDA,"57,005,714",NJNG,"756,658","673,217",CWC,NDA,"1,429,875"
Butler Boro,Morris,Butler Boro Morris,2022,MEU/JCPL,"10,657","133,841,400","929,115",NDA,"134,781,172",PSEG,"2,728,764","1,014,890","205,602",NDA,"3,949,256"
Chatham Boro,Morris,Chatham Boro Morris,2022,JCPL,"30,271,754","19,024,484","376,368",NDA,"49,672,606",PSEG,"3,368,736","1,204,935","47,750",NDA,"4,621,421"
Chatham Twp,Morris,Chatham Twp Morris,2022,JCPL,"46,135,959","17,023,112","1,519,475",NDA,"64,678,546",PSEG,"4,476,643","821,211","5,249",NDA,"5,303,103"
Chester Boro,Morris,Chester Boro Morris,2022,JCPL,"7,516,891","18,653,372","119,373",NDA,"26,289,636",PSEG,"896,220","827,173","3,507",NDA,"1,726,900"
Chester Twp,Morris,Chester Twp Morris,2022,JCPL,"43,323,772","11,672,678","9,446",NDA,"55,005,896",PSEG,"3,317,776","271,949",NDA,NDA,"3,589,725"
Denville Twp,Morris,Denville Twp Morris,2022,JCPL,"63,442,256","74,814,878","2,309,833",NDA,"140,566,967",NJNG/PSEG,"5,282,187","4,193,587",CWC + NDA,NDA,"9,475,774"
Dover Town,Morris,Dover Town Morris,2022,JCPL,"40,718,652","45,844,138","8,646,492",NDA,"95,209,282",NJNG,"4,106,715","2,828,205",CWC,NDA,"6,934,920"
East Hanover Twp,Morris,East Hanover Twp Morris,2022,JCPL,"41,524,957","73,705,040","100,388,299",NDA,"215,618,296",PSEG,"4,998,911","3,610,924","1,417,326",NDA,"10,027,161"
Florham Park Boro,Morris,Florham Park Boro Morris,2022,JCPL,"46,348,220","136,783,879","15,626,608",NDA,"198,758,707",PSEG,"4,811,824","2,571,714","771,989",NDA,"8,155,526"
Hanover Twp,Morris,Hanover Twp Morris,2022,JCPL,"51,557,927","116,988,382","66,147,411",NDA,"234,693,720",PSEG,"5,568,012","4,811,692","2,514,743",NDA,"12,894,447"
Harding Twp,Morris,Harding Twp Morris,2022,JCPL,"33,699,506","13,235,179","226,463",NDA,"47,161,148",PSEG,"3,352,306","191,372",NDA,NDA,"3,543,678"
Jefferson Twp,Morris,Jefferson Twp Morris,2022,JCPL,"86,671,583","29,881,039","5,060,667",NDA,"121,613,289",NJNG/PSEG,"1,966,224","767,960",CWC + NDA,NDA,"2,734,184"
Kinnelon Boro,Morris,Kinnelon Boro Morris,2022,JCPL/ACE,"1,472,707","78,378",NDA,NDA,"1,551,085",NJNG/PSEG,"3,446,679","560,795",CWC + NDA,NDA,"4,007,474"
Lincoln Park Boro,Morris,Lincoln Park Boro Morris,2022,PSEG/JCPL,"32,564,735","24,922,478","7,755,257","11,623","65,254,093",NJNG,"2,941,990","1,231,791",CWC,NDA,"4,173,781"
Long Hill Twp,Morris,Long Hill Twp Morris,2022,JCPL,"34,801,511","19,416,513","1,777,917",NDA,"55,995,941",PSEG,"3,246,344","810,666","97,303",NDA,"4,154,313"
Madison Boro,Morris,Madison Boro Morris,2022,MEU/JCPL,"6,566","4,200",NDA,NDA,"10,766",PSEG,"5,943,397","3,102,660","89,494",NDA,"9,135,551"
Mendham Boro,Morris,Mendham Boro Morris,2022,JCPL,"25,259,465","12,005,268","692,508",NDA,"37,957,241",PSEG,"2,892,572","654,320","1,720",NDA,"3,548,613"
Mendham Twp,Morris,Mendham Twp Morris,2022,JCPL,"39,652,616","4,421,334","1,016,838",NDA,"45,090,788",PSEG,"3,983,680","276,704","1,359",NDA,"4,261,743"
Mine Hill Twp,Morris,Mine Hill Twp Morris,2022,JCPL,"13,504,029","4,351,114","393,120",NDA,"18,248,263",NJNG,"863,412","254,221",CWC,NDA,"1,117,633"
Montville Twp,Morris,Montville Twp Morris,2022,JCPL,"93,797,772","82,300,658","17,023,013",NDA,"193,121,443",NJNG/PSEG,"8,098,898","2,772,643",CWC + NDA,NDA,"10,871,541"
Morris Plains Boro,Morris,Morris Plains Boro Morris,2022,JCPL,"21,371,024","58,155,612","7,184,091",NDA,"86,710,727",PSEG,"2,424,272","1,374,356","12,470",NDA,"3,811,098"
Morris Twp,Morris,Morris Twp Morris,2022,JCPL,"88,502,695","76,347,820","6,319,897",NDA,"171,170,412",PSEG,"9,722,892","2,799,191","437,269","17,378","12,976,730"
Morristown Town,Morris,Morristown Town Morris,2022,PSEG/JCPL,"65,785,366","167,709,764","1,352,315",NDA,"234,847,445",PSEG,"4,963,939","9,622,015","87,094",504,"14,673,552"
Mount Arlington Boro,Morris,Mount Arlington Boro Morris,2022,JCPL,"21,274,885","11,694,600","183,503",NDA,"33,152,988",NJNG,"1,161,520","1,045,789",CWC,NDA,"2,207,309"
Mount Olive Twp,Morris,Mount Olive Twp Morris,2022,JCPL,"93,337,913","119,594,474","29,223,345",NDA,"242,155,732",ETG/NJNG,"8,754,389","7,873,153",CWC + NDA,NDA,"16,627,542"
Mountain Lakes Boro,Morris,Mountain Lakes Boro Morris,2022,JCPL,"20,283,989","11,722,975","4,017,170",NDA,"36,024,134",NJNG,"2,289,841","494,378",CWC,NDA,"2,784,219"
Netcong Boro,Morris,Netcong Boro Morris,2022,JCPL,"10,875,544","7,770,944","381,218",NDA,"19,027,706",NJNG,"480,395","865,835",CWC,NDA,"1,346,230"
Parsippany-Troy Hills Twp,Morris,Parsippany-Troy Hills Twp Morris,2022,JCPL,"153,672,459","389,632,445","52,352,579",NDA,"595,657,483",NJNG/PSEG,"12,829,642","11,926,645","147,989",NDA,"24,904,276"
Pequannock Twp,Morris,Pequannock Twp Morris,2022,JCPL,"50,018,498","40,521,440","20,848,650",NDA,"111,388,588",PSEG,"5,362,398","3,569,791","74,589",NDA,"9,006,778"
Randolph Twp,Morris,Randolph Twp Morris,2022,JCPL,"97,239,335","63,485,514","1,657,130",NDA,"162,381,979",NJNG/PSEG,"8,770,139","3,796,768",-3,NDA,"12,566,904"
Riverdale Boro,Morris,Riverdale Boro Morris,2022,JCPL,"14,289,170","21,534,021","4,585,952",NDA,"40,409,143",PSEG,"1,258,083","810,026","1,260,677",NDA,"3,328,786"
Rockaway Boro,Morris,Rockaway Boro Morris,2022,JCPL,"20,692,940","24,753,036","8,787,053",NDA,"54,233,029",NJNG,"1,660,968","3,316,433",CWC,NDA,"4,977,401"
Rockaway Twp,Morris,Rockaway Twp Morris,2022,JCPL,"93,960,601","91,983,814","131,651,257",NDA,"317,595,672",NJNG,"5,109,026","9,848,498",CWC,NDA,"14,957,524"
Roxbury Twp,Morris,Roxbury Twp Morris,2022,JCPL,"83,211,046","92,723,304","9,094,114",NDA,"185,028,464",NJNG,"6,277,399","2,972,433",CWC,NDA,"9,249,832"
Victory Gardens Boro,Morris,Victory Gardens Boro Morris,2022,JCPL,"3,610,960","1,711,229",NDA,NDA,"5,322,189",NJNG,"300,408","85,154",CWC,NDA,"385,562"
Washington Twp,Morris,Washington Twp (Morris) Morris,2022,JCPL,"79,544,371","22,287,549","15,326,671",NDA,"117,158,591",ETG,"8,642,657","1,880,850",NDA,NDA,"10,523,507"
Wharton Boro,Morris,Wharton Boro Morris,2022,JCPL,"21,519,805","32,586,972","12,227,917",NDA,"66,334,694",NJNG,"1,504,298","4,567,310",CWC,NDA,"6,071,608"
Barnegat Light Boro,Ocean,Barnegat Light Boro Ocean,2022,ACE,"9,063,538","3,775,749",NDA,"69,855","12,909,142",NJNG,"554,692","101,504",CWC,NDA,"656,196"
Barnegat Twp,Ocean,Barnegat Twp Ocean,2022,JCPL/ACE,"96,107,665","28,381,304","500,966","370,453","125,360,388",NJNG,"8,116,258","790,983",CWC,NDA,"8,907,241"
Bay Head Boro,Ocean,Bay Head Boro Ocean,2022,JCPL,"10,770,521","3,644,237","4,050,456",NDA,"18,465,214",NJNG,"950,799","139,406",CWC,NDA,"1,090,205"
Beach Haven Boro,Ocean,Beach Haven Boro Ocean,2022,ACE,"34,678,606","14,560,944",NDA,"227,532","49,467,082",NJNG,"1,014,090","374,278",CWC,NDA,"1,388,368"
Beachwood Boro,Ocean,Beachwood Boro Ocean,2022,JCPL,"37,192,457","6,949,798","278,237",NDA,"44,420,492",NJNG,"2,700,424","216,306",CWC,NDA,"2,916,730"
Berkeley Twp,Ocean,Berkeley Twp Ocean,2022,JCPL,"166,484,029","44,662,734","18,529,756",NDA,"229,676,519",NJNG,"18,305,010","3,284,840",CWC,NDA,"21,589,850"
Brick Twp,Ocean,Brick Twp Ocean,2022,JCPL,"298,982,617","147,570,926","16,005,849",NDA,"462,559,392",NJNG,"20,992,505","5,792,664",CWC,NDA,"26,785,169"
Eagleswood Twp,Ocean,Eagleswood Twp Ocean,2022,ACE,"8,366,060","3,798,820","5,180,496","71,802","17,417,178",NJNG,"511,696","123,651",CWC,NDA,"635,347"
Harvey Cedars Boro,Ocean,Harvey Cedars Boro Ocean,2022,ACE,"9,264,890","1,899,461",NDA,"75,644","11,239,995",NJNG,"567,627","90,965",CWC,NDA,"658,592"
