Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Saddle River Boro,Bergen,Saddle River Boro Bergen,2022,RECO/PSEG,"12,058,526","562,668",NDA,"53,880","12,675,074",PSEG,"4,043,919","214,702",NDA,NDA,"4,258,621"
South Hackensack Twp,Bergen,South Hackensack Twp Bergen,2022,PSEG,"5,902,823","36,872,340","16,347,625","213,807","59,336,595",PSEG,"677,621","1,512,261","946,455",NDA,"3,136,336"
Teaneck Twp,Bergen,Teaneck Twp Bergen,2022,PSEG,"121,400,295","102,520,336","1,019,734","2,306,475","227,246,840",PSEG,"13,145,534","5,140,871","62,745",NDA,"18,349,149"
Tenafly Boro,Bergen,Tenafly Boro Bergen,2022,PSEG,"61,516,715","25,935,053","184,240","756,867","88,392,875",PSEG,"7,230,630","1,710,592","10,574",NDA,"8,951,797"
Teterboro Boro,Bergen,Teterboro Boro Bergen,2022,PSEG,"193,117","50,156,565","13,452,701","200,942","64,003,325",PSEG,"14,999","2,115,536","483,023",NDA,"2,613,558"
Upper Saddle River Boro,Bergen,Upper Saddle River Boro Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"5,839,164","487,346","24,043",NDA,"6,350,554"
Waldwick Boro,Bergen,Waldwick Boro Bergen,2022,PSEG,"30,339,046","20,588,351","9,498,832","487,074","60,913,303",PSEG,"3,598,902","857,056","49,001",NDA,"4,504,959"
Wallington Boro,Bergen,Wallington Boro Bergen,2022,PSEG,"26,104,345","15,369,028","725,096","476,861","42,675,330",PSEG,"2,610,177","1,282,637","116,369",NDA,"4,009,182"
Washington Twp,Bergen,Washington Twp (Bergen) Bergen,2022,PSEG,"35,443,907","13,002,175","106,296","313,455","48,865,833",PSEG,"4,080,189","563,848","4,730",NDA,"4,648,767"
Westwood Boro,Bergen,Westwood Boro Bergen,2022,PSEG,"34,430,747","35,087,229","809,589","861,940","71,189,505",PSEG,"3,548,248","2,116,165","34,287",NDA,"5,698,699"
Woodcliff Lake Boro,Bergen,Woodcliff Lake Boro Bergen,2022,PSEG,"27,358,210","48,327,771","368,812","534,743","76,589,536",PSEG,"3,590,472","741,907","3,678",NDA,"4,336,057"
Wood-ridge Boro,Bergen,Wood-ridge Boro Bergen,2022,PSEG,"31,697,057","27,133,015","749,557","469,770","60,049,399",PSEG,"3,037,054","1,193,574","95,680",NDA,"4,326,308"
Wyckoff Twp,Bergen,Wyckoff Twp Bergen,2022,RECO/PSEG,"30,135,313","12,703,761","1,876,605","313,612","45,029,291",PSEG,"9,101,631","2,128,312","35,912",NDA,"11,265,855"
Bass River Twp,Burlington,Bass River Twp Burlington,2022,ACE,"5,998,963","2,994,788","6,035,188","79,897","15,108,836",NJNG,"175,863","571,744",CWC,NDA,"747,607"
Beverly City,Burlington,Beverly City Burlington,2022,PSEG,"8,413,752","2,048,326","35,377","224,228","10,721,683",PSEG,"800,823","111,064","7,100",NDA,"918,987"
Bordentown City,Burlington,Bordentown City Burlington,2022,PSEG,"12,663,236","8,123,707","78,231","243,747","21,108,921",PSEG,"1,140,400","597,484","7,418",NDA,"1,745,303"
Bordentown Twp,Burlington,Bordentown Twp Burlington,2022,PSEG,"36,510,854","57,317,878","2,922,781","790,376","97,541,889",PSEG,"2,998,668","2,834,809","120,838",NDA,"5,954,315"
Burlington City,Burlington,Burlington City Burlington,2022,PSEG,"31,542,481","32,658,013","15,731,600","1,969,774","81,901,868",PSEG,"2,876,372","1,503,994","31,364",NDA,"4,411,730"
Burlington Twp,Burlington,Burlington Twp Burlington,2022,PSEG,"69,434,414","96,076,002","4,200,945","1,222,200","170,933,561",PSEG,"5,969,148","8,482,200","13,098,675",NDA,"27,550,023"
Chesterfield Twp,Burlington,Chesterfield Twp Burlington,2022,PSEG/JCPL,"22,662,673","59,853,437","14,153,312","394,717","97,064,139",PSEG,"1,441,510","324,406",NDA,NDA,"1,765,916"
Cinnaminson Twp,Burlington,Cinnaminson Twp Burlington,2022,PSEG,"60,386,625","63,022,474","4,898,368","1,339,689","129,647,156",PSEG,"5,161,922","2,224,371","827,392",NDA,"8,213,685"
Delanco Twp,Burlington,Delanco Twp Burlington,2022,PSEG,"17,857,503","14,529,554","2,581,530","253,332","35,221,919",PSEG,"1,405,992","581,531","224,857",NDA,"2,212,379"
Delran Twp,Burlington,Delran Twp Burlington,2022,PSEG,"56,893,432","39,773,517","15,751,755","802,567","113,221,271",PSEG,"3,985,142","2,609,005","8,694",NDA,"6,602,841"
Eastampton Twp,Burlington,Eastampton Twp Burlington,2022,PSEG,"23,542,859","7,150,566","76,937","438,550","31,208,912",PSEG,"1,434,451","293,013",412,NDA,"1,727,875"
Edgewater Park Twp,Burlington,Edgewater Park Twp Burlington,2022,PSEG,"27,326,919","19,628,809","45,036","415,513","47,416,277",PSEG,"2,285,449","893,253","96,715",NDA,"3,275,417"
Evesham Twp,Burlington,Evesham Twp Burlington,2022,PSEG/ACE,"170,173,804","160,457,601","1,017,404","2,391,003","334,039,812",PSEG/SJG,"16,582,166","5,546,496","6,522",NDA,"22,135,184"
Fieldsboro Boro,Burlington,Fieldsboro Boro Burlington,2022,PSEG,"2,062,402","846,748","16,056,793","65,641","19,031,584",PSEG,"161,825","33,222","1,468,660",NDA,"1,663,706"
Florence Twp,Burlington,Florence Twp Burlington,2022,PSEG,"41,721,042","70,660,910","15,531,713","716,339","128,630,004",PSEG,"3,194,735","2,718,592","316,250",NDA,"6,229,577"
Hainesport Twp,Burlington,Hainesport Twp Burlington,2022,PSEG,"24,480,294","13,230,619","1,875,781","431,458","40,018,152",PSEG,"1,620,470","1,063,441","458,229",NDA,"3,142,140"
Lumberton Twp,Burlington,Lumberton Twp Burlington,2022,PSEG,"44,606,545","38,999,098","4,892,045","638,310","89,135,998",PSEG,"3,112,756","1,699,844",953,NDA,"4,813,553"
Mansfield Twp,Burlington,Mansfield Twp (Burlington) Burlington,2022,PSEG,"33,641,524","21,144,301","695,438","549,501","56,030,764",PSEG,"2,924,294","799,416","325,679",NDA,"4,049,388"
Maple Shade Twp,Burlington,Maple Shade Twp Burlington,2022,PSEG,"59,255,663","55,774,436","4,179,706","1,210,097","120,419,902",PSEG,"3,980,073","3,402,512","25,605",NDA,"7,408,190"
Medford Lakes Boro,Burlington,Medford Lakes Boro Burlington,2022,PSEG,"16,956,937","3,014,058",NDA,"148,457","20,119,452",SJG,"2,868,369","540,859",NDA,NDA,"3,409,228"
