OBJECTID,Block Group identifier,Population for poverty,Population in households under 2 times poverty,Percent Low Income,Total Population,Population Not Hispanic or Latino only,Total Minority,Percent Minority,Total Households,Households with Limited English Proficiency,Percent Households with Limited English Proficiency,Overburdened Community Criteria,Block Group - Tribal,Block Group County Subdivision,County,Municipality,Municipality Code,Split Block Group,Split Municipality,GLOBALID,SHAPE_Length,SHAPE_Area
966,3.4013E+11,1317,444,33.71298405,1317,0,1317,100,370,32,8.64864865,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{E9EB08CA-72CF-4C9A-8B8E-4A9007F72E1A},4892.631364,1284654.408
967,3.4013E+11,2316,896,38.68739206,2698,103,2595,96.1823573,672,131,19.49404762,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{1C912A4C-6FA5-4C83-8480-6626FFAA925D},7800.407613,3014382.894
968,3.4013E+11,3109,1650,53.07172724,3155,239,2916,92.42472266,807,234,28.99628253,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{760C594F-4558-45E1-A120-5AFEF73711A5},6157.030373,1955225.5
969,3.4013E+11,866,333,38.45265589,866,161,705,81.40877598,338,72,21.30177515,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{E2CC0B34-8473-47BA-BC0D-FB8A1930172A},5218.688292,1094549.315
970,3.4013E+11,958,760,79.33194154,1140,71,1069,93.77192982,463,67,14.47084233,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{0E4B27BF-9A4E-420C-8992-E2FF1CE60440},6910.660197,2687899.424
971,3.4013E+11,155,43,27.74193548,2100,795,1305,62.14285714,60,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{4A1112D3-5EAA-4B5F-A946-9754FEE78F50},11034.69598,3433392.443
972,3.4013E+11,1412,435,30.80736544,1424,131,1293,90.8005618,710,79,11.12676056,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{A626B7F1-DF33-42FC-87C6-11E621EA1A5A},9298.97953,2691697.429
973,3.4013E+11,2149,1115,51.88459749,2183,198,1985,90.92991296,759,137,18.05006588,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{1357635B-D9ED-4520-9ED9-D02E9B140728},8046.094965,2402966.755
974,3.4013E+11,1671,720,43.08797127,1671,41,1630,97.54637941,587,35,5.96252129,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{E467AEF0-3C6E-43BC-BCBA-862EBC1A15F8},5346.548567,1701713.813
975,3.4013E+11,2044,1616,79.06066536,2054,19,2035,99.07497566,674,16,2.37388724,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{B8F109AD-C762-4EE7-99F1-62B2B927ED46},7701.957882,2557557.759
976,3.4013E+11,572,352,61.53846154,572,47,525,91.78321678,212,14,6.60377358,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{807F4DC7-F006-4069-A755-CDA5B70FF560},7846.508104,1366548.55
977,3.4013E+11,1090,385,35.32110092,1090,0,1090,100,400,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{A21D1A5B-9E79-49B2-88B4-37D55F1771D5},6441.215474,1378295.753
978,3.4013E+11,1056,178,16.85606061,1056,0,1056,100,369,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{EE12B024-40F5-4119-912F-8F0196273EEF},10464.98529,6044995.455
979,3.4013E+11,504,56,11.11111111,504,97,407,80.75396825,182,39,21.42857143,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{87EE77BE-047A-4069-8062-ECB72D90F81A},9611.976252,3849599.889
980,3.4013E+11,1943,1284,66.08337622,1943,34,1909,98.25012867,570,59,10.35087719,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{FFF01808-5D72-4491-9331-A4B7593F46B0},9982.08597,3782494.31
981,3.4013E+11,360,60,16.66666667,360,13,347,96.38888889,153,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{7318FBF1-9B55-4BBB-887D-49C81C5BCE48},4550.058774,949400.4428
982,3.4013E+11,1384,521,37.64450867,1400,0,1400,100,426,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{A2633D87-026B-4B2D-BF06-FE910D4C89E6},6154.432808,1434254.227
983,3.4013E+11,649,302,46.53312789,649,0,649,100,279,20,7.16845878,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{0FA5C836-ED3B-4044-B1DA-4A2527D4476C},4915.018159,985801.9917
984,3.4013E+11,1979,942,47.59979788,1979,58,1921,97.06922688,939,286,30.45793397,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{E4EB0AAF-21FE-475C-9883-98EA45E642A7},8242.028867,2270782.998
985,3.4013E+11,1862,828,44.46831364,1862,0,1862,100,805,27,3.35403727,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{E7DA80B2-A6EF-4753-ACED-55F7DE94F105},4264.041632,1113685.526
986,3.4013E+11,719,579,80.52851182,719,28,691,96.10570236,295,56,18.98305085,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{8424736C-B9F1-45D2-9746-2174F2B71772},5640.64492,1612653.693
987,3.4013E+11,981,455,46.38124363,981,13,968,98.67482161,370,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{06986F7D-B73F-4190-BA13-DF58197A70B3},5479.916887,1178732.213
988,3.4013E+11,1171,154,13.15115286,1171,0,1171,100,423,18,4.25531915,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{195DBB87-C471-4963-905D-17BE37FD8184},5503.484057,1601694.863
989,3.4013E+11,986,451,45.74036511,986,14,972,98.5801217,381,51,13.38582677,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{4F4BAD88-67C2-44A9-9E39-4176572C8700},6596.358377,1127059.123
990,3.4013E+11,709,319,44.99294781,758,0,758,100,246,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{0BAC57BF-632F-4329-BE30-EFD29FDE6E15},4383.045143,977104.8488
991,3.4013E+11,884,408,46.15384615,884,0,884,100,246,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{E34BF97F-F527-4C40-BCD9-D599200ECE32},5886.049248,1732566.061
992,3.4013E+11,1530,652,42.61437908,1530,0,1530,100,512,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{14123545-F092-4DF8-A717-DAA91DE6AC77},4372.622482,1077285.801
993,3.4013E+11,1536,723,47.0703125,1536,8,1528,99.47916667,470,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{427825DF-E8A6-4694-A0F3-CACEAA7D6C43},7549.554677,1855754.559
994,3.4013E+11,798,72,9.02255639,798,0,798,100,312,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{1B67672C-1F88-465E-A761-7D694D3BA90F},4019.340236,838332.6808
995,3.4013E+11,2403,479,19.93341656,2403,56,2347,97.66957969,792,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{D159E60E-5780-4BF7-85BB-38995FE78D9F},6397.96612,1819836.485
996,3.4013E+11,1383,815,58.92986262,1411,6,1405,99.57476967,469,31,6.6098081,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{DD49D59E-6F2F-4CE5-81D9-4E474620049A},5805.678531,1550415.084
997,3.4013E+11,6609,3956,59.85776971,6609,393,6216,94.05356332,2450,794,32.40816327,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{9ECFBB65-9881-47BD-B101-9E7A8196C80D},5036.148374,795410.6797
998,3.4013E+11,978,66,6.74846626,978,33,945,96.62576687,278,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{1FFB99F8-4E49-47A5-8EA4-9C6041411367},7055.775605,2230530.701
999,3.4013E+11,944,117,12.3940678,944,21,923,97.77542373,403,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{C55BA3C9-C4C5-4A59-B0CF-9B356066605C},3966.333545,737797.2944
1000,3.4013E+11,1030,708,68.73786408,1030,0,1030,100,302,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{5FBD3D22-DE15-4797-A8CF-8B9B4FA3A8C0},5449.019937,1105503.357
1001,3.4013E+11,1396,571,40.9025788,1396,7,1389,99.49856734,432,12,2.77777778,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{7E9C07F1-30DD-4960-B89F-AAF6AF6F6FDB},6733.579884,1486357.229
1002,3.4013E+11,1088,478,43.93382353,1088,36,1052,96.69117647,339,34,10.02949853,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{489278AD-8941-4433-B0E9-9AAD7D672FEA},3563.637389,749922.0779
1003,3.4013E+11,2736,1229,44.91959064,2736,0,2736,100,652,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{B3B5B0E5-5F07-4E20-AB44-A82CA6AE793D},5776.169274,1613709.875
1004,3.4013E+11,1515,531,35.04950495,1561,0,1561,100,474,62,13.08016878,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{D5EDBDDC-5476-4B1E-AA39-E912CFC7584B},6902.377107,1654312.9
1005,3.4013E+11,1567,767,48.94703255,1567,16,1551,98.97894065,633,29,4.58135861,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{41EBEADB-BA8D-465B-AB56-AA13D50B526A},7045.770802,2219387.892
1006,3.4013E+11,2339,1290,55.15177426,2388,0,2388,100,622,8,1.28617363,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{A82C9E64-E63B-4A18-BF9D-BA5E2C691224},7624.364575,2304834.682
1007,3.4013E+11,1621,1116,68.84639112,1621,0,1621,100,461,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{8EB4490D-3FF8-4A2A-B224-B81FFAB1502F},4745.53249,1233428.469
1008,3.4013E+11,1288,561,43.55590062,1288,11,1277,99.14596273,490,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{2CAA8B6B-6971-484E-9EC5-3F8CD6D94FBB},6064.531603,1496798.797
1009,3.4013E+11,1118,630,56.35062612,1170,19,1151,98.37606838,501,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{85DDFEEB-200A-4A8E-A95D-E6651D615F33},8987.769708,2225020.996
1010,3.4013E+11,1163,827,71.10920034,1163,35,1128,96.9905417,566,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{59FE14B9-301E-4005-B203-5738201CE01F},5233.423609,1318419.534
1011,3.4013E+11,1103,655,59.38349955,1103,13,1090,98.82139619,473,14,2.95983087,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{C5DB4110-824A-45EE-A1F2-76246D27FA27},8010.910972,3487193.363
1012,3.4013E+11,927,588,63.43042071,927,6,921,99.35275081,254,78,30.70866142,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{387AA74E-FF27-4B9F-A154-737B52099809},8062.076804,2698080.575
1013,3.4013E+11,431,307,71.22969838,431,0,431,100,195,3,1.53846154,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{1A5B0F1D-0B8E-42D6-8F53-D09E21EC0201},7206.039903,2265759.919
1014,3.4013E+11,919,737,80.19586507,919,0,919,100,379,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{094F93A3-2099-4AE4-B7FE-FA5193BBA5C5},4317.35333,1050801.085
1015,3.4013E+11,849,782,92.10836278,849,0,849,100,313,26,8.30670927,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{45777251-AC9D-4B10-BB72-18A4630DD821},4677.635672,1256309.699
1016,3.4013E+11,1251,882,70.50359712,1251,13,1238,98.96083133,354,44,12.42937853,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{40F10810-C34A-413A-9F8B-E5078352F973},4783.392604,1246741.139
1017,3.4013E+11,1040,422,40.57692308,1050,42,1008,96,399,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{1FD6B63D-B146-43A7-9523-3C726D30E4A1},5833.937242,1608843.759
1018,3.4013E+11,1676,756,45.10739857,1676,0,1676,100,591,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{B9CDD94F-845D-4D7F-904D-AFF7ED575545},7129.031367,2453548.333
1019,3.4013E+11,814,566,69.53316953,814,24,790,97.05159705,327,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{9E7E2727-E0DD-4C9A-9716-C48D1ED20557},4038.63744,832341.0731
1020,3.4013E+11,756,356,47.08994709,756,0,756,100,296,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{35B920A8-49BF-4B16-A710-2B4E929D39CE},7710.024938,1550521.794
1021,3.4013E+11,537,298,55.49348231,537,0,537,100,278,13,4.67625899,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{8837E9B5-8F1B-4679-945D-C9B92183F5B7},6305.021971,1945931.325
1022,3.4013E+11,1829,1462,79.93439038,1829,58,1771,96.82886823,659,37,5.61456753,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{C317D9D2-533F-4A64-81CD-D197DA5D9C68},4239.363998,1119967.138
1023,3.4013E+11,1235,938,75.951417,1235,0,1235,100,471,40,8.492569,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{9FDE5C38-59CC-4681-AFD8-EA12D0F163E2},6798.781931,2111226.622
1024,3.4013E+11,823,266,32.32077764,823,47,776,94.28918591,392,0,0,Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{6F24698E-27E9-4B9F-B64E-DCABFE7B427F},5131.617362,1418358.991
1025,3.4013E+11,976,686,70.28688525,2009,96,1913,95.22150324,625,31,4.96,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{23489307-14CF-4335-8DF9-B7BCFE7B015F},24032.49585,21063320.45
1026,3.4013E+11,681,446,65.49192364,681,24,657,96.47577093,278,15,5.39568345,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{2DE8F58C-F9EB-4B72-84C0-958B97A95591},15288.65871,8006369.096
1027,3.4013E+11,1481,857,57.86630655,1530,61,1469,96.0130719,753,27,3.58565737,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{BE58C125-F72D-4D9D-A94D-36A41E02E6BF},8926.912201,4017410.729
1028,3.4013E+11,800,394,49.25,800,20,780,97.5,401,0,0,Low Income and Minority,Block group,3401351000,ESSEX,Newark City,714,Not a split block group,Not Applicable,{ECF66296-9178-46B0-BD9E-791659A51528},4321.874693,1037294.952
